[KGenerating Samples |###                             | (26/256) Sample Time: 27.120s | Infer Batch: 43.7 | Total: 0:11:45 | ETA: 0:00:03
[KGenerating Samples |######################          | (181/256) Sample Time: 5.064s | Infer Batch: 43.4 | Total: 0:15:16 | ETA: 0:00:02
[KGenerating Samples |######################          | (181/256) Sample Time: 5.064s | Infer Batch: 43.4 | Total: 0:15:17 | ETA: 0:00:02
[KGenerating Samples |######################          | (183/256) Sample Time: 5.020s | Infer Batch: 43.4 | Total: 0:15:18 | ETA: 0:00:01
[KGenerating Samples |######################          | (183/256) Sample Time: 5.020s | Infer Batch: 43.4 | Total: 0:15:19 | ETA: 0:00:01
[KGenerating Samples |######################          | (183/256) Sample Time: 5.020s | Infer Batch: 43.4 | Total: 0:15:20 | ETA: 0:00:01
[KGenerating Samples |######################          | (183/256) Sample Time: 5.020s | Infer Batch: 43.4 | Total: 0:15:21 | ETA: 0:00:01
[KGenerating Samples |######################          | (183/256) Sample Time: 5.020s | Infer Batch: 43.4 | Total: 0:15:22 | ETA: 0:00:01
[KGenerating Samples |######################          | (183/256) Sample Time: 5.020s | Infer Batch: 43.4 | Total: 0:15:23 | ETA: 0:00:01
[KGenerating Samples |#######################         | (184/256) Sample Time: 5.023s | Infer Batch: 43.4 | Total: 0:15:24 | ETA: 0:00:01
[KGenerating Samples |#######################         | (185/256) Sample Time: 4.999s | Infer Batch: 43.4 | Total: 0:15:25 | ETA: 0:00:01
[KGenerating Samples |#######################         | (186/256) Sample Time: 4.981s | Infer Batch: 43.4 | Total: 0:15:26 | ETA: 0:00:01
[KGenerating Samples |#######################         | (186/256) Sample Time: 4.981s | Infer Batch: 43.4 | Total: 0:15:27 | ETA: 0:00:01
[KGenerating Samples |#######################         | (188/256) Sample Time: 4.937s | Infer Batch: 43.4 | Total: 0:15:28 | ETA: 0:00:01
[KGenerating Samples |#######################         | (188/256) Sample Time: 4.937s | Infer Batch: 43.4 | Total: 0:15:29 | ETA: 0:00:01
[KGenerating Samples |#######################         | (189/256) Sample Time: 4.920s | Infer Batch: 43.4 | Total: 0:15:30 | ETA: 0:00:01
[KGenerating Samples |#######################         | (190/256) Sample Time: 4.904s | Infer Batch: 43.4 | Total: 0:15:31 | ETA: 0:00:01
[KGenerating Samples |#######################         | (190/256) Sample Time: 4.904s | Infer Batch: 43.4 | Total: 0:15:32 | ETA: 0:00:01
[KGenerating Samples |#######################         | (190/256) Sample Time: 4.904s | Infer Batch: 43.4 | Total: 0:15:33 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 4.893s | Infer Batch: 43.4 | Total: 0:15:34 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 4.893s | Infer Batch: 43.4 | Total: 0:15:35 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 4.876s | Infer Batch: 43.4 | Total: 0:15:36 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 4.876s | Infer Batch: 43.4 | Total: 0:15:37 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 4.876s | Infer Batch: 43.4 | Total: 0:15:38 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.865s | Infer Batch: 43.4 | Total: 0:15:39 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.865s | Infer Batch: 43.4 | Total: 0:15:40 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.865s | Infer Batch: 43.4 | Total: 0:15:41 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.865s | Infer Batch: 43.4 | Total: 0:15:42 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.865s | Infer Batch: 43.4 | Total: 0:15:43 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.865s | Infer Batch: 43.4 | Total: 0:15:44 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.865s | Infer Batch: 43.4 | Total: 0:15:45 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:46 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:47 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:48 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:49 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:50 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:51 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:52 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:53 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:54 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:55 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:56 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:57 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:58 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:15:59 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:16:00 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:16:01 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.877s | Infer Batch: 43.4 | Total: 0:16:03 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.939s | Infer Batch: 43.4 | Total: 0:16:04 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.939s | Infer Batch: 43.4 | Total: 0:16:05 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.924s | Infer Batch: 43.4 | Total: 0:16:06 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:16:07 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:16:08 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:16:09 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:16:10 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:16:11 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:16:12 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:13 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:14 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:15 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:16 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:17 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:18 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:19 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:20 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:21 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:22 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:23 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.913s | Infer Batch: 43.4 | Total: 0:16:24 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 4.948s | Infer Batch: 43.4 | Total: 0:16:25 | ETA: 0:00:01
[KGenerating Samples |#########################       | (200/256) Sample Time: 4.926s | Infer Batch: 43.4 | Total: 0:16:26 | ETA: 0:00:01
[KGenerating Samples |#########################       | (201/256) Sample Time: 4.909s | Infer Batch: 43.4 | Total: 0:16:27 | ETA: 0:00:01
[KGenerating Samples |#########################       | (201/256) Sample Time: 4.909s | Infer Batch: 43.4 | Total: 0:16:28 | ETA: 0:00:01
[KGenerating Samples |#########################       | (201/256) Sample Time: 4.909s | Infer Batch: 43.4 | Total: 0:16:29 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 4.899s | Infer Batch: 43.4 | Total: 0:16:30 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:31 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:32 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:33 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:34 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:35 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:36 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:37 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:38 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:39 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 4.881s | Infer Batch: 43.4 | Total: 0:16:40 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 4.903s | Infer Batch: 43.4 | Total: 0:16:41 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 4.887s | Infer Batch: 43.4 | Total: 0:16:42 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:43 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:44 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:45 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:46 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:47 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:48 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:49 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:50 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:51 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:52 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:53 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:54 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:55 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:56 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:57 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:58 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:16:59 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:00 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:01 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:02 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:03 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:04 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:05 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:06 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:07 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:08 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:09 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 4.869s | Infer Batch: 43.4 | Total: 0:17:10 | ETA: 0:00:01
